Date,Low,Open,Volume,High,Close,Adjusted Close
18-06-1997,26.125,26.125,7918300,26.875,26.75,8.497208595275879
19-06-1997,26.5,26.875,1472400,27.0,26.625,8.457508087158203
20-06-1997,26.25,26.75,1030200,26.75,26.375,8.378092765808105
23-06-1997,26.125,26.375,628900,26.375,26.125,8.298676490783691
24-06-1997,26.0625,26.1875,541800,26.25,26.0625,8.278826713562012
25-06-1997,26.25,26.25,570500,26.5625,26.4375,8.39794635772705
26-06-1997,26.5625,26.75,488700,27.0,27.0,8.576623916625977
27-06-1997,26.75,27.0,586400,27.125,26.875,8.53691577911377
30-06-1997,26.25,26.8125,629800,27.5,27.25,8.656038284301758
01-07-1997,26.625,27.125,269700,27.125,26.625,8.457508087158203
02-07-1997,26.375,26.375,350800,26.625,26.375,8.378092765808105
03-07-1997,26.4375,26.4375,173000,26.75,26.625,8.457508087158203
07-07-1997,26.5,26.875,449500,26.9375,26.75,8.497208595275879
08-07-1997,26.625,26.6875,239400,26.875,26.6875,8.477356910705566
09-07-1997,26.5,26.625,226000,26.6875,26.5625,8.437651634216309
10-07-1997,26.3125,26.5,425100,26.5,26.375,8.378092765808105
11-07-1997,26.3125,26.375,326300,26.5,26.4375,8.39794635772705
14-07-1997,26.625,26.6875,311000,27.1875,26.75,8.497208595275879
15-07-1997,26.5625,26.9375,534400,26.9375,26.6875,8.477356910705566
16-07-1997,26.625,26.6875,443700,27.0,26.875,8.53691577911377
17-07-1997,26.9375,26.9375,443800,27.1875,27.0625,8.596473693847656
18-07-1997,26.375,27.0,359600,27.0625,26.625,8.457508087158203
21-07-1997,26.25,26.375,422700,26.875,26.8125,8.51706314086914
22-07-1997,26.75,26.8125,246500,26.9375,26.8125,8.51706314086914
23-07-1997,26.8125,26.9375,196900,26.9375,26.8125,8.51706314086914
24-07-1997,26.75,26.9375,481800,27.125,27.0625,8.596473693847656
25-07-1997,27.125,27.1875,225800,27.375,27.3125,8.675887107849121
28-07-1997,27.0,27.1875,127600,27.375,27.3125,8.675887107849121
29-07-1997,27.1875,27.25,350200,27.5625,27.4375,8.715595245361328
30-07-1997,27.0,27.4375,126600,27.625,27.5625,8.755304336547852
31-07-1997,27.5,27.5625,203500,28.0,27.875,8.854571342468262
01-08-1997,27.25,27.9375,85200,27.9375,27.875,8.854571342468262
04-08-1997,27.1875,27.9375,115600,28.0,27.875,8.854571342468262
05-08-1997,27.5625,27.6875,152900,28.3125,28.125,8.933984756469727
06-08-1997,27.9375,28.0,234900,29.375,29.375,9.331049919128418
07-08-1997,29.25,29.3125,358900,29.375,29.25,9.291341781616211
08-08-1997,28.0,29.0,387300,29.0,29.0,9.211929321289062
11-08-1997,27.625,28.875,164700,28.9375,28.1875,8.953841209411621
12-08-1997,27.9375,28.25,437100,28.375,27.9375,8.874423027038574
13-08-1997,27.5,28.0,323000,28.25,27.6875,8.79500675201416
14-08-1997,27.5,27.5625,89800,27.75,27.5,8.735451698303223
15-08-1997,27.5,27.625,120200,27.75,27.625,8.77515697479248
18-08-1997,27.5,27.5625,177000,27.8125,27.8125,8.834716796875
19-08-1997,27.75,27.8125,161300,28.3125,28.25,8.9736909866333
20-08-1997,28.1875,28.375,206500,28.9375,28.6875,9.112666130065918
21-08-1997,28.5625,28.6875,133000,29.0625,29.0,9.211929321289062
22-08-1997,28.4375,28.6875,449700,29.5,29.25,9.291341781616211
25-08-1997,29.125,29.25,227300,29.375,29.3125,9.311202049255371
26-08-1997,29.25,29.375,266800,29.375,29.25,9.291341781616211
