Date,Low,Open,Volume,High,Close,Adjusted Close
17-12-1996,3.5,3.75,1272400,3.75,3.5,2.6587119102478027
18-12-1996,3.3125,3.5,1186800,3.59375,3.5625,2.706188917160034
19-12-1996,3.59375,3.59375,528800,3.71875,3.65625,2.777404546737671
20-12-1996,3.625,3.625,233200,3.71875,3.71875,2.8248822689056396
23-12-1996,3.71875,3.75,57200,3.84375,3.8125,2.8960964679718018
24-12-1996,3.84375,3.84375,14000,3.90625,3.90625,2.9673123359680176
26-12-1996,3.8125,3.90625,22000,3.9375,3.8125,2.8960964679718018
27-12-1996,3.8125,3.8125,800,3.8125,3.8125,2.8960964679718018
30-12-1996,3.78125,3.84375,28400,3.84375,3.78125,2.872359275817871
31-12-1996,3.75,3.75,15600,3.78125,3.78125,2.872359275817871
02-01-1997,3.65625,3.75,710000,3.75,3.65625,2.777404546737671
03-01-1997,3.65625,3.65625,1579600,3.78125,3.75,2.8486194610595703
06-01-1997,3.75,3.78125,2490800,3.8125,3.78125,2.872359275817871
07-01-1997,3.78125,3.8125,641200,4.0,4.0,3.0385279655456543
08-01-1997,4.03125,4.0625,336000,4.1875,4.03125,3.0622670650482178
09-01-1997,4.03125,4.03125,459200,4.09375,4.0625,3.086005687713623
10-01-1997,4.0625,4.09375,812800,4.125,4.09375,3.109743595123291
13-01-1997,4.0,4.09375,3370000,4.09375,4.0625,3.086005687713623
14-01-1997,4.1875,4.21875,2018000,4.4375,4.4375,3.370866537094116
15-01-1997,4.09375,4.3125,2648400,4.34375,4.09375,3.109743595123291
16-01-1997,3.96875,4.0,2926000,4.0625,4.0,3.0385279655456543
17-01-1997,3.96875,4.0,1323600,4.0625,4.03125,3.0622670650482178
20-01-1997,3.96875,4.0,2368400,4.03125,3.96875,3.0147898197174072
21-01-1997,4.0,4.0,2347200,4.03125,4.0,3.0385279655456543
22-01-1997,4.0,4.03125,2797600,4.03125,4.0,3.0385279655456543
23-01-1997,4.0625,4.0625,1058800,4.15625,4.09375,3.109743595123291
24-01-1997,4.03125,4.09375,1254800,4.28125,4.03125,3.0622670650482178
27-01-1997,4.03125,4.03125,1658000,4.09375,4.03125,3.0622670650482178
28-01-1997,4.0,4.03125,1005600,4.1875,4.0,3.0385279655456543
29-01-1997,3.96875,4.0,1512000,4.09375,4.0,3.0385279655456543
30-01-1997,3.96875,4.0,2211200,4.0625,4.0,3.0385279655456543
31-01-1997,3.90625,3.9375,1540400,4.0,3.9375,2.991051197052002
03-02-1997,3.90625,3.9375,1889600,4.0625,4.0625,3.086005687713623
04-02-1997,4.03125,4.0625,1865600,4.125,4.125,3.133481502532959
05-02-1997,4.09375,4.125,458400,4.15625,4.15625,3.1572206020355225
06-02-1997,4.125,4.125,643600,4.15625,4.125,3.133481502532959
07-02-1997,4.09375,4.125,2542800,4.21875,4.1875,3.180959463119507
10-02-1997,4.09375,4.125,944000,4.15625,4.125,3.133481502532959
11-02-1997,4.0625,4.0625,772000,4.15625,4.125,3.133481502532959
12-02-1997,4.0625,4.09375,400400,4.125,4.09375,3.109743595123291
13-02-1997,4.09375,4.09375,1190800,4.28125,4.21875,3.204697370529175
14-02-1997,4.09375,4.21875,1210800,4.21875,4.125,3.133481502532959
18-02-1997,4.0625,4.0625,2076800,4.15625,4.125,3.133481502532959
19-02-1997,4.09375,4.09375,830800,4.1875,4.15625,3.1572206020355225
20-02-1997,4.125,4.125,1074000,4.375,4.21875,3.204697370529175
21-02-1997,4.1875,4.21875,638800,4.28125,4.25,3.2284345626831055
24-02-1997,4.25,4.25,1108000,4.40625,4.40625,3.347128391265869
25-02-1997,4.375,4.40625,462000,4.46875,4.4375,3.370866537094116
26-02-1997,4.3125,4.375,525600,4.40625,4.34375,3.299652099609375
27-02-1997,4.25,4.3125,854800,4.4375,4.28125,3.2521753311157227
28-02-1997,4.0625,4.15625,514400,4.28125,4.21875,3.204697370529175
03-03-1997,4.15625,4.15625,385600,4.3125,4.21875,3.204697370529175
04-03-1997,4.1875,4.25,803600,4.25,4.21875,3.204697370529175
05-03-1997,4.09375,4.1875,1542000,4.21875,4.15625,3.1572206020355225
06-03-1997,4.09375,4.15625,408800,4.15625,4.125,3.133481502532959
07-03-1997,3.96875,4.09375,968400,4.125,4.0625,3.086005687713623
10-03-1997,4.0625,4.0625,331200,4.125,4.09375,3.109743595123291
11-03-1997,4.09375,4.09375,1434000,4.15625,4.09375,3.109743595123291
12-03-1997,4.09375,4.09375,558000,4.125,4.125,3.133481502532959
13-03-1997,4.0625,4.0625,362800,4.09375,4.0625,3.086005687713623
14-03-1997,4.0625,4.0625,964800,4.125,4.09375,3.109743595123291
17-03-1997,4.0,4.09375,387600,4.09375,4.0,3.0385279655456543
18-03-1997,4.0,4.0625,303600,4.0625,4.03125,3.0622670650482178
19-03-1997,4.03125,4.03125,2478000,4.09375,4.09375,3.109743595123291
20-03-1997,4.03125,4.09375,196000,4.09375,4.0625,3.086005687713623
21-03-1997,3.96875,4.03125,806000,4.09375,4.0,3.0385279655456543
24-03-1997,3.90625,3.96875,227600,4.0,3.90625,2.9673123359680176
25-03-1997,3.78125,3.84375,256400,3.9375,3.8125,2.8960964679718018
26-03-1997,3.65625,3.75,317600,3.78125,3.78125,2.872359275817871
27-03-1997,3.75,3.75,231200,3.84375,3.8125,2.8960964679718018
31-03-1997,3.71875,3.78125,335200,3.84375,3.71875,2.8248822689056396
01-04-1997,3.6875,3.71875,514400,3.75,3.6875,2.801142930984497
02-04-1997,3.65625,3.6875,270000,3.71875,3.65625,2.777404546737671
03-04-1997,3.65625,3.6875,285600,3.71875,3.6875,2.801142930984497
04-04-1997,3.6875,3.6875,2198000,3.71875,3.6875,2.801142930984497
07-04-1997,3.625,3.6875,146800,3.6875,3.65625,2.777404546737671
08-04-1997,3.5625,3.625,271200,3.71875,3.71875,2.8248822689056396
09-04-1997,3.65625,3.6875,386400,3.78125,3.78125,2.872359275817871
10-04-1997,3.75,3.75,167200,3.9375,3.84375,2.919835329055786
11-04-1997,3.65625,3.75,537600,3.78125,3.65625,2.777404546737671
14-04-1997,3.59375,3.65625,390000,3.6875,3.59375,2.7299275398254395
15-04-1997,3.59375,3.59375,276800,3.65625,3.65625,2.777404546737671
16-04-1997,3.625,3.625,248400,3.75,3.75,2.8486194610595703
17-04-1997,3.90625,3.90625,2013600,4.03125,3.96875,3.0147898197174072
18-04-1997,3.96875,3.96875,385200,4.0,4.0,3.0385279655456543
21-04-1997,3.96875,4.0,569200,4.0625,4.0,3.0385279655456543
22-04-1997,4.0,4.0,246400,4.0,4.0,3.0385279655456543
23-04-1997,4.0,4.0,145200,4.03125,4.0,3.0385279655456543
24-04-1997,4.0,4.0,533600,4.03125,4.0,3.0385279655456543
