Date,Low,Open,Volume,High,Close,Adjusted Close
02-01-1970,6.40625,6.40625,73200,6.75,6.75,0.25609228014945984
05-01-1970,6.8125,6.8125,130800,7.03125,7.03125,0.2667626440525055
06-01-1970,6.8125,7.03125,312400,7.15625,6.9375,0.26320600509643555
07-01-1970,6.8125,6.90625,51600,6.90625,6.84375,0.25964903831481934
08-01-1970,6.8125,6.84375,79200,6.9375,6.84375,0.25964903831481934
09-01-1970,6.8125,6.84375,45600,6.90625,6.90625,0.26202020049095154
12-01-1970,6.84375,6.90625,51200,6.90625,6.875,0.26083478331565857
13-01-1970,6.71875,6.875,136800,6.875,6.71875,0.2549068331718445
14-01-1970,6.65625,6.71875,61600,6.78125,6.71875,0.2549068331718445
15-01-1970,6.5625,6.71875,85200,6.71875,6.5625,0.24897855520248413
16-01-1970,6.5,6.5625,158000,6.59375,6.53125,0.24779294431209564
19-01-1970,6.5625,6.5625,56000,6.6875,6.6875,0.25372108817100525
20-01-1970,6.625,6.6875,93600,6.84375,6.84375,0.25964903831481934
21-01-1970,6.71875,6.8125,86800,6.8125,6.71875,0.2549068331718445
22-01-1970,6.65625,6.71875,70000,6.71875,6.71875,0.2549068331718445
23-01-1970,6.65625,6.71875,60000,6.78125,6.75,0.25609228014945984
26-01-1970,6.75,6.75,59600,6.8125,6.8125,0.258463591337204
27-01-1970,6.75,6.8125,74000,6.90625,6.78125,0.25727805495262146
28-01-1970,6.65625,6.78125,53200,6.8125,6.6875,0.25372108817100525
29-01-1970,6.625,6.6875,53600,6.8125,6.8125,0.258463591337204
30-01-1970,6.71875,6.8125,44400,6.8125,6.75,0.25609228014945984
02-02-1970,6.65625,6.75,50800,6.8125,6.75,0.257168710231781
03-02-1970,6.65625,6.75,33200,6.78125,6.6875,0.254787415266037
04-02-1970,6.6875,6.6875,35200,6.75,6.75,0.257168710231781
05-02-1970,6.625,6.71875,56400,6.71875,6.6875,0.254787415266037
06-02-1970,6.625,6.6875,37600,6.71875,6.71875,0.2559780776500702
09-02-1970,6.65625,6.71875,59200,6.71875,6.71875,0.2559780776500702
10-02-1970,6.65625,6.71875,34800,6.71875,6.71875,0.2559780776500702
11-02-1970,6.65625,6.71875,40000,6.71875,6.6875,0.254787415266037
12-02-1970,6.65625,6.6875,35200,6.71875,6.65625,0.25359687209129333
13-02-1970,6.59375,6.65625,61600,6.6875,6.59375,0.25121578574180603
16-02-1970,6.5625,6.59375,44800,6.6875,6.59375,0.25121578574180603
17-02-1970,6.5625,6.59375,36800,6.6875,6.625,0.25240615010261536
18-02-1970,6.59375,6.625,47200,6.6875,6.625,0.25240615010261536
19-02-1970,6.625,6.625,30400,6.71875,6.6875,0.254787415266037
20-02-1970,6.625,6.6875,59200,6.71875,6.71875,0.2559780776500702
24-02-1970,6.65625,6.71875,56400,6.71875,6.6875,0.254787415266037
25-02-1970,6.6875,6.6875,72400,6.78125,6.75,0.257168710231781
26-02-1970,6.75,6.75,44800,6.8125,6.75,0.257168710231781
27-02-1970,6.78125,6.78125,42000,6.875,6.875,0.26193109154701233
02-03-1970,6.84375,6.875,56000,6.9375,6.90625,0.26312148571014404
03-03-1970,6.875,6.90625,48800,6.96875,6.9375,0.2643122375011444
04-03-1970,6.875,6.9375,60000,7.0625,7.0625,0.26907452940940857
05-03-1970,7.0,7.0625,71600,7.09375,7.0,0.26669347286224365
