Date,Low,Open,Volume,High,Close,Adjusted Close
10-11-1997,25.125,25.75,947200,25.75,25.1875,8.160269737243652
11-11-1997,25.125,25.1875,514700,25.4375,25.3125,8.200772285461426
12-11-1997,25.125,25.25,344700,25.875,25.625,8.302013397216797
13-11-1997,25.5625,25.5625,1007700,25.9375,25.875,8.383005142211914
14-11-1997,25.6875,25.875,1394900,26.0,26.0,8.423504829406738
17-11-1997,25.875,25.9375,706600,26.25,26.125,8.464004516601562
18-11-1997,25.9375,26.0,625800,26.375,26.0625,8.443756103515625
19-11-1997,26.0,26.0,342400,26.25,26.25,8.504500389099121
20-11-1997,26.1875,26.1875,558800,26.625,26.5,8.58549690246582
21-11-1997,26.5,26.75,640800,26.875,26.875,8.706984519958496
24-11-1997,26.5,26.625,330800,27.0,26.875,8.706984519958496
25-11-1997,26.75,26.8125,1021000,27.25,27.125,8.787985801696777
26-11-1997,26.875,27.1875,488700,27.1875,26.875,8.706984519958496
28-11-1997,26.875,27.0,244200,27.0,27.0,8.747488975524902
01-12-1997,26.9375,27.0,836200,27.375,27.375,8.868976593017578
02-12-1997,27.0625,27.25,437800,27.375,27.125,8.787985801696777
03-12-1997,26.875,27.25,338400,27.25,27.125,8.787985801696777
04-12-1997,27.0625,27.25,1405800,27.6875,27.375,8.868976593017578
05-12-1997,27.125,27.125,362500,27.875,27.3125,8.848732948303223
08-12-1997,27.125,27.375,312900,27.4375,27.3125,8.848732948303223
09-12-1997,26.9375,27.1875,365300,27.3125,27.1875,8.808234214782715
10-12-1997,27.1875,27.4375,354100,27.5,27.3125,8.848732948303223
11-12-1997,26.9375,27.25,199600,27.3125,27.125,8.787985801696777
12-12-1997,27.0,27.25,680500,27.3125,27.1875,8.808234214782715
15-12-1997,27.1875,27.1875,489500,27.5625,27.5,8.909478187561035
16-12-1997,27.375,27.5,310200,27.5625,27.4375,8.889227867126465
17-12-1997,27.3125,27.5625,386100,27.5625,27.4375,8.889227867126465
18-12-1997,27.375,27.4375,1640900,27.8125,27.8125,9.010719299316406
19-12-1997,27.6875,27.8125,2164100,28.3125,28.3125,9.172709465026855
22-12-1997,28.25,28.3125,851400,28.8125,28.625,9.273955345153809
23-12-1997,28.3125,28.4375,493200,28.75,28.5,9.233455657958984
24-12-1997,28.4375,28.5625,92200,28.6875,28.625,9.273955345153809
26-12-1997,28.0625,28.5625,215300,28.625,28.25,9.152461051940918
29-12-1997,28.125,28.25,280800,28.75,28.5625,9.253706932067871
30-12-1997,28.5,28.625,268600,28.8125,28.8125,9.33470344543457
31-12-1997,28.5625,28.625,482900,29.0,29.0,9.3954496383667
02-01-1998,28.5,28.75,317200,28.9375,28.875,9.354944229125977
05-01-1998,28.1875,28.6875,734200,28.90625,28.375,9.192961692810059
06-01-1998,28.25,28.25,1507800,28.625,28.5625,9.253706932067871
07-01-1998,28.0625,28.4375,724000,28.4375,28.4375,9.213212966918945
08-01-1998,28.0625,28.3125,461600,28.4375,28.375,9.192961692810059
09-01-1998,28.125,28.3125,863900,28.5625,28.3125,9.172709465026855
12-01-1998,27.875,27.875,679200,28.75,28.75,9.314458847045898
13-01-1998,28.375,28.75,1065600,28.75,28.4375,9.213212966918945
14-01-1998,28.125,28.4375,348700,28.4375,28.4375,9.213212966918945
15-01-1998,28.25,28.3125,638200,28.375,28.25,9.152461051940918
16-01-1998,28.25,28.5,488700,28.5,28.375,9.192961692810059
20-01-1998,28.0,28.375,344700,28.5,28.5,9.233455657958984
21-01-1998,28.25,28.5,464300,28.75,28.5,9.233455657958984
22-01-1998,28.25,28.4375,421800,28.5,28.5,9.233455657958984
23-01-1998,28.1875,28.4375,320800,28.5,28.3125,9.172709465026855
26-01-1998,28.25,28.25,1019500,28.625,28.625,9.273955345153809
27-01-1998,28.5625,28.625,415700,28.875,28.625,9.273955345153809
28-01-1998,28.5,28.5625,325800,29.0,28.9375,9.375197410583496
29-01-1998,28.75,28.9375,1813100,29.5,29.4375,9.537192344665527
30-01-1998,29.0,29.375,283500,29.5,29.0,9.3954496383667
02-02-1998,28.875,29.5,1120100,29.625,29.0,9.3954496383667
03-02-1998,28.75,28.75,2424000,29.4375,29.4375,9.537192344665527
04-02-1998,28.875,28.875,544800,29.25,29.0625,9.537190437316895
05-02-1998,28.9375,29.0625,854100,29.4375,29.25,9.598721504211426
