Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,5.03125,0.0,5600,5.03125,5.03125,0.8177126049995422
22-02-1973,5.03125,0.0,8400,5.03125,5.03125,0.8177126049995422
23-02-1973,5.03125,0.0,73200,5.03125,5.03125,0.8177126049995422
26-02-1973,5.0,0.0,16400,5.0,5.0,0.8126336932182312
27-02-1973,4.9375,0.0,26000,4.9375,4.9375,0.8024755716323853
28-02-1973,4.96875,0.0,26000,4.96875,4.96875,0.8075548410415649
01-03-1973,4.96875,0.0,36800,4.96875,4.96875,0.8075548410415649
02-03-1973,4.96875,0.0,10400,4.96875,4.96875,0.8075548410415649
05-03-1973,4.96875,0.0,26800,4.96875,4.96875,0.8075548410415649
06-03-1973,4.96875,0.0,9200,4.96875,4.96875,0.8075548410415649
07-03-1973,4.96875,0.0,23600,4.96875,4.96875,0.8075548410415649
08-03-1973,4.96875,0.0,8800,4.96875,4.96875,0.8075548410415649
09-03-1973,4.96875,0.0,23200,4.96875,4.96875,0.8075548410415649
12-03-1973,4.96875,0.0,26400,4.96875,4.96875,0.8075548410415649
13-03-1973,4.96875,0.0,41200,4.96875,4.96875,0.8075548410415649
14-03-1973,4.96875,0.0,14000,4.96875,4.96875,0.8075548410415649
15-03-1973,4.9375,0.0,20000,4.9375,4.9375,0.8024755716323853
16-03-1973,4.90625,0.0,9200,4.90625,4.90625,0.7973968982696533
19-03-1973,4.90625,0.0,7600,4.90625,4.90625,0.7973968982696533
20-03-1973,4.875,0.0,23200,4.875,4.875,0.7923180460929871
21-03-1973,4.84375,0.0,21200,4.84375,4.84375,0.7872390747070312
22-03-1973,4.84375,0.0,7200,4.84375,4.84375,0.7872390747070312
23-03-1973,4.84375,0.0,20000,4.84375,4.84375,0.7872390747070312
26-03-1973,4.875,0.0,4400,4.875,4.875,0.7923180460929871
27-03-1973,4.875,0.0,17200,4.875,4.875,0.7923180460929871
28-03-1973,4.90625,0.0,10800,4.90625,4.90625,0.7973968982696533
29-03-1973,4.90625,0.0,5200,4.90625,4.90625,0.7973968982696533
30-03-1973,4.90625,0.0,5600,4.90625,4.90625,0.7973968982696533
02-04-1973,4.90625,0.0,35600,4.90625,4.90625,0.7973968982696533
03-04-1973,4.90625,0.0,51200,4.90625,4.90625,0.7973968982696533
04-04-1973,4.90625,0.0,29200,4.90625,4.90625,0.7973968982696533
05-04-1973,4.90625,0.0,3200,4.90625,4.90625,0.7973968982696533
06-04-1973,4.90625,0.0,27600,4.90625,4.90625,0.7973968982696533
09-04-1973,4.96875,0.0,17600,4.96875,4.96875,0.8075548410415649
10-04-1973,4.96875,0.0,6800,4.96875,4.96875,0.8075548410415649
11-04-1973,4.96875,0.0,32000,4.96875,4.96875,0.8075548410415649
12-04-1973,4.96875,0.0,2000,4.96875,4.96875,0.8075548410415649
13-04-1973,4.96875,0.0,4400,4.96875,4.96875,0.8075548410415649
16-04-1973,4.96875,0.0,8800,4.96875,4.96875,0.8075548410415649
17-04-1973,4.9375,0.0,52000,4.9375,4.9375,0.8024755716323853
18-04-1973,4.90625,0.0,8400,4.90625,4.90625,0.7973968982696533
19-04-1973,4.90625,0.0,7600,4.90625,4.90625,0.7973968982696533
23-04-1973,4.9375,0.0,10800,4.9375,4.9375,0.8024755716323853
24-04-1973,4.90625,0.0,2800,4.90625,4.90625,0.7973968982696533
25-04-1973,4.90625,0.0,6000,4.90625,4.90625,0.7973968982696533
26-04-1973,4.90625,0.0,7200,4.90625,4.90625,0.7973968982696533
27-04-1973,4.90625,0.0,49600,4.90625,4.90625,0.7973968982696533
30-04-1973,4.90625,0.0,5600,4.90625,4.90625,0.7973968982696533
01-05-1973,4.875,0.0,13600,4.875,4.875,0.7923180460929871
02-05-1973,4.875,0.0,16800,4.875,4.875,0.7923180460929871
03-05-1973,4.875,0.0,6800,4.96875,4.875,0.7923180460929871
04-05-1973,4.875,0.0,16400,4.96875,4.875,0.7923180460929871
07-05-1973,4.875,0.0,7600,4.96875,4.875,0.7923180460929871
08-05-1973,4.875,0.0,3200,4.96875,4.875,0.7923180460929871
09-05-1973,4.875,0.0,69200,4.96875,4.875,0.7923180460929871
10-05-1973,4.875,0.0,8000,4.96875,4.875,0.7923180460929871
11-05-1973,4.90625,0.0,3600,5.0,4.90625,0.7973968982696533
14-05-1973,4.90625,0.0,6800,5.0,4.90625,0.7973968982696533
15-05-1973,4.90625,0.0,29200,5.0,4.90625,0.7973968982696533
16-05-1973,4.90625,0.0,7600,5.0,4.90625,0.7973968982696533
17-05-1973,4.90625,0.0,7600,5.0,4.90625,0.7973968982696533
18-05-1973,4.90625,0.0,14400,5.0,4.90625,0.7973968982696533
21-05-1973,4.90625,0.0,6800,5.0,4.90625,0.7973968982696533
22-05-1973,4.90625,0.0,7600,5.0,4.90625,0.7973968982696533
23-05-1973,4.90625,0.0,12800,5.0,4.90625,0.7973968982696533
24-05-1973,4.90625,0.0,17200,5.0,4.90625,0.7973968982696533
25-05-1973,4.90625,0.0,8800,5.0,4.90625,0.7973968982696533
29-05-1973,4.90625,0.0,2000,5.0,4.90625,0.7973968982696533
30-05-1973,4.90625,0.0,6400,5.0,4.90625,0.7973968982696533
31-05-1973,4.90625,0.0,7600,5.0,4.90625,0.7973968982696533
01-06-1973,4.90625,0.0,9200,5.0,4.90625,0.7973968982696533
04-06-1973,4.90625,0.0,21600,5.0,4.90625,0.7973968982696533
05-06-1973,4.875,0.0,32800,4.96875,4.875,0.7923180460929871
06-06-1973,4.875,0.0,20400,4.96875,4.875,0.7923180460929871
07-06-1973,4.875,0.0,5600,4.96875,4.875,0.7923180460929871
08-06-1973,4.875,0.0,6400,4.96875,4.875,0.7923180460929871
11-06-1973,4.875,0.0,6800,4.96875,4.875,0.7923180460929871
12-06-1973,4.84375,0.0,14000,4.9375,4.84375,0.7872390747070312
13-06-1973,4.84375,0.0,24000,4.9375,4.84375,0.7872390747070312
14-06-1973,4.84375,0.0,5200,4.9375,4.84375,0.7872390747070312
15-06-1973,4.84375,0.0,6400,4.9375,4.84375,0.7872390747070312
18-06-1973,4.84375,0.0,12800,4.9375,4.84375,0.7872390747070312
19-06-1973,4.84375,0.0,4800,4.9375,4.84375,0.7872390747070312
20-06-1973,4.84375,0.0,20800,4.9375,4.84375,0.7872390747070312
21-06-1973,4.84375,0.0,2400,4.9375,4.84375,0.7872390747070312
22-06-1973,4.84375,0.0,12000,4.9375,4.84375,0.7872390747070312
25-06-1973,4.8125,0.0,20400,4.90625,4.8125,0.7821600437164307
26-06-1973,4.6875,0.0,23200,4.78125,4.6875,0.7618440985679626
27-06-1973,4.75,0.0,48000,4.84375,4.75,0.7720021605491638
28-06-1973,4.75,0.0,18400,4.84375,4.75,0.7720021605491638
29-06-1973,4.75,0.0,9200,4.84375,4.75,0.7720021605491638
02-07-1973,4.75,0.0,13200,4.84375,4.75,0.7720021605491638
03-07-1973,4.75,0.0,19600,4.84375,4.75,0.7720021605491638
05-07-1973,4.75,0.0,7200,4.84375,4.75,0.7720021605491638
06-07-1973,4.75,0.0,6400,4.84375,4.75,0.7720021605491638
09-07-1973,4.75,0.0,12400,4.84375,4.75,0.7720021605491638
10-07-1973,4.78125,0.0,7200,4.875,4.78125,0.7770812511444092
11-07-1973,4.8125,0.0,13600,4.90625,4.8125,0.7821600437164307
12-07-1973,4.8125,0.0,4400,4.90625,4.8125,0.7821600437164307
13-07-1973,4.8125,0.0,2000,4.90625,4.8125,0.7821600437164307
16-07-1973,4.8125,0.0,7200,4.90625,4.8125,0.7821600437164307
17-07-1973,4.84375,0.0,10000,4.9375,4.84375,0.7872390747070312
18-07-1973,4.84375,0.0,9200,4.9375,4.84375,0.7872390747070312
19-07-1973,4.84375,0.0,8000,4.9375,4.84375,0.7872390747070312
20-07-1973,4.84375,0.0,10400,4.9375,4.84375,0.7872390747070312
23-07-1973,4.875,0.0,6800,4.96875,4.875,0.7923180460929871
24-07-1973,4.875,0.0,3200,4.96875,4.875,0.7923180460929871
25-07-1973,4.875,0.0,8000,4.96875,4.875,0.7923180460929871
26-07-1973,4.84375,0.0,14000,4.9375,4.84375,0.7872390747070312
27-07-1973,4.84375,0.0,10400,4.9375,4.84375,0.7872390747070312
30-07-1973,4.84375,0.0,7600,4.9375,4.84375,0.7872390747070312
31-07-1973,4.84375,0.0,3600,4.9375,4.84375,0.7872390747070312
01-08-1973,4.84375,0.0,2000,4.9375,4.84375,0.7872390747070312
02-08-1973,4.8125,0.0,5200,4.90625,4.8125,0.7821600437164307
03-08-1973,4.8125,0.0,4400,4.90625,4.8125,0.7821600437164307
06-08-1973,4.8125,0.0,7200,4.90625,4.8125,0.7821600437164307
07-08-1973,4.78125,0.0,42400,4.875,4.78125,0.7770812511444092
08-08-1973,4.78125,0.0,3200,4.875,4.78125,0.7770812511444092
09-08-1973,4.78125,0.0,1600,4.875,4.78125,0.7770812511444092
