Date,Low,Open,Volume,High,Close,Adjusted Close
02-05-1988,2.75,0.0,800,3.0,2.75,2.5829849243164062
03-05-1988,2.75,0.0,400,3.125,2.75,2.5829849243164062
04-05-1988,2.75,0.0,2800,3.125,2.75,2.5829849243164062
05-05-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
06-05-1988,2.75,0.0,800,3.125,2.75,2.5829849243164062
09-05-1988,2.75,0.0,400,3.125,2.75,2.5829849243164062
10-05-1988,2.75,0.0,0,3.125,2.75,2.5829849243164062
11-05-1988,2.75,0.0,2000,3.125,2.75,2.5829849243164062
12-05-1988,2.75,0.0,0,3.0,2.75,2.5829849243164062
13-05-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
16-05-1988,2.75,0.0,0,3.0,2.75,2.5829849243164062
17-05-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
18-05-1988,2.75,0.0,7200,3.0,2.75,2.5829849243164062
19-05-1988,2.625,0.0,2400,2.875,2.625,2.465576410293579
20-05-1988,2.625,0.0,1600,2.875,2.625,2.465576410293579
23-05-1988,2.625,2.625,0,2.625,2.625,2.465576410293579
24-05-1988,2.625,2.625,0,2.625,2.625,2.465576410293579
25-05-1988,2.6875,0.0,800,2.875,2.6875,2.524280309677124
26-05-1988,2.6875,2.6875,0,2.6875,2.6875,2.524280309677124
27-05-1988,2.75,0.0,8000,2.9375,2.75,2.5829849243164062
31-05-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
01-06-1988,2.75,0.0,400,2.9375,2.75,2.5829849243164062
02-06-1988,2.75,0.0,400,2.9375,2.75,2.5829849243164062
03-06-1988,2.875,0.0,1600,3.25,2.875,2.700392961502075
06-06-1988,2.875,0.0,4400,3.25,2.875,2.700392961502075
07-06-1988,2.875,2.875,0,2.875,2.875,2.700392961502075
08-06-1988,2.9375,0.0,2800,3.25,2.9375,2.759097099304199
09-06-1988,2.9375,0.0,0,3.25,2.9375,2.759097099304199
10-06-1988,2.9375,0.0,2000,3.25,2.9375,2.759097099304199
13-06-1988,2.9375,2.9375,0,2.9375,2.9375,2.759097099304199
14-06-1988,2.9375,0.0,400,3.25,2.9375,2.759097099304199
15-06-1988,2.9375,2.9375,0,2.9375,2.9375,2.759097099304199
16-06-1988,2.9375,2.9375,0,2.9375,2.9375,2.759097099304199
17-06-1988,2.9375,0.0,400,3.25,2.9375,2.759097099304199
20-06-1988,2.9375,2.9375,0,2.9375,2.9375,2.759097099304199
21-06-1988,2.9375,2.9375,0,2.9375,2.9375,2.759097099304199
22-06-1988,3.0,0.0,2000,3.25,3.0,2.817800998687744
23-06-1988,3.0,0.0,0,3.375,3.0,2.817800998687744
24-06-1988,3.0,0.0,0,3.375,3.0,2.817800998687744
27-06-1988,3.0625,0.0,1600,3.375,3.0625,2.876505136489868
28-06-1988,3.0625,3.0625,0,3.0625,3.0625,2.876505136489868
29-06-1988,3.0625,3.0625,0,3.0625,3.0625,2.876505136489868
30-06-1988,3.0625,3.0625,0,3.0625,3.0625,2.876505136489868
01-07-1988,3.125,0.0,400,3.4375,3.125,2.935209274291992
05-07-1988,3.125,3.125,0,3.125,3.125,2.935209274291992
06-07-1988,3.125,0.0,400,3.4375,3.125,2.935209274291992
07-07-1988,3.125,0.0,2000,3.5,3.125,2.935209274291992
08-07-1988,3.125,3.125,0,3.125,3.125,2.935209274291992
11-07-1988,3.125,3.125,0,3.125,3.125,2.935209274291992
12-07-1988,3.125,0.0,800,3.5,3.125,2.935209274291992
13-07-1988,3.25,0.0,3200,3.5,3.25,3.0526180267333984
14-07-1988,3.25,3.25,0,3.25,3.25,3.0526180267333984
15-07-1988,3.25,0.0,1600,3.5,3.25,3.0526180267333984
18-07-1988,3.25,0.0,400,3.625,3.25,3.0526180267333984
19-07-1988,3.25,3.25,0,3.25,3.25,3.0526180267333984
20-07-1988,3.25,0.0,400,3.625,3.25,3.0526180267333984
21-07-1988,3.25,3.25,0,3.25,3.25,3.0526180267333984
22-07-1988,3.25,3.25,0,3.25,3.25,3.0526180267333984
25-07-1988,3.25,3.25,0,3.25,3.25,3.0526180267333984
26-07-1988,3.25,0.0,3200,3.5,3.25,3.0526180267333984
27-07-1988,3.1875,0.0,2000,3.5,3.1875,2.9939141273498535
28-07-1988,3.0625,0.0,11200,3.375,3.0625,2.876505136489868
29-07-1988,3.0,0.0,3200,3.25,3.0,2.817800998687744
01-08-1988,3.0,3.0,0,3.0,3.0,2.817800998687744
02-08-1988,3.0,3.0,0,3.0,3.0,2.817800998687744
03-08-1988,3.0,3.0,0,3.0,3.0,2.817800998687744
04-08-1988,3.0,3.0,0,3.0,3.0,2.817800998687744
05-08-1988,3.0,3.0,0,3.0,3.0,2.817800998687744
08-08-1988,3.0,3.0,0,3.0,3.0,2.817800998687744
09-08-1988,3.0,3.0,0,3.0,3.0,2.817800998687744
10-08-1988,3.0,0.0,2400,3.25,3.0,2.817800998687744
11-08-1988,3.0,3.0,0,3.0,3.0,2.817800998687744
12-08-1988,3.0,3.0,0,3.0,3.0,2.817800998687744
15-08-1988,2.875,0.0,2400,3.25,2.875,2.700392961502075
16-08-1988,2.75,0.0,1200,3.0625,2.75,2.5829849243164062
17-08-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
18-08-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
19-08-1988,2.75,0.0,800,3.0,2.75,2.5829849243164062
22-08-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
23-08-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
24-08-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
25-08-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
26-08-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
29-08-1988,2.75,0.0,2800,3.0,2.75,2.5829849243164062
30-08-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
31-08-1988,2.75,0.0,1200,2.9375,2.75,2.5829849243164062
01-09-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
02-09-1988,2.75,0.0,800,3.0,2.75,2.5829849243164062
06-09-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
07-09-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
08-09-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
09-09-1988,2.75,0.0,0,2.9375,2.75,2.5829849243164062
12-09-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
13-09-1988,2.75,2.75,0,2.75,2.75,2.5829849243164062
14-09-1988,2.75,0.0,400,2.9375,2.75,2.5829849243164062
15-09-1988,2.625,0.0,5200,2.8125,2.625,2.465576410293579
16-09-1988,2.625,0.0,800,2.8125,2.625,2.465576410293579
19-09-1988,2.625,0.0,0,2.8125,2.625,2.465576410293579
20-09-1988,2.625,2.625,0,2.625,2.625,2.465576410293579
21-09-1988,2.5625,0.0,800,2.8125,2.5625,2.406872034072876
22-09-1988,2.5625,2.5625,0,2.5625,2.5625,2.406872034072876
23-09-1988,2.5625,0.0,0,2.8125,2.5625,2.406872034072876
26-09-1988,2.5625,0.0,400,2.8125,2.5625,2.406872034072876
27-09-1988,2.5625,2.5625,0,2.5625,2.5625,2.406872034072876
28-09-1988,2.5625,2.5625,0,2.5625,2.5625,2.406872034072876
29-09-1988,2.5625,2.5625,0,2.5625,2.5625,2.406872034072876
30-09-1988,2.5625,2.5625,0,2.5625,2.5625,2.406872034072876
03-10-1988,2.5625,0.0,0,2.8125,2.5625,2.406872034072876
04-10-1988,2.5625,0.0,1600,2.8125,2.5625,2.406872034072876
05-10-1988,2.5625,2.5625,0,2.5625,2.5625,2.406872034072876
