Date,Low,Open,Volume,High,Close,Adjusted Close
21-11-1995,1.078125,1.078125,51412800,1.328125,1.28125,1.016963005065918
22-11-1995,1.265625,1.28125,11921600,1.609375,1.5625,1.2401982545852661
24-11-1995,1.5625,1.5625,2419200,1.703125,1.6875,1.3394140005111694
27-11-1995,1.53125,1.78125,6720000,1.8125,1.578125,1.2526001930236816
28-11-1995,1.5625,1.578125,3451200,1.609375,1.59375,1.2650023698806763
29-11-1995,1.5625,1.5625,3628800,1.8125,1.796875,1.4262281656265259
30-11-1995,1.765625,1.796875,8254400,1.984375,1.890625,1.5006402730941772
01-12-1995,1.859375,1.921875,2616000,1.96875,1.875,1.488237977027893
04-12-1995,1.875,1.875,5961600,2.40625,2.34375,1.860297679901123
05-12-1995,2.203125,2.34375,2907200,2.375,2.210937976837158,1.7548809051513672
06-12-1995,2.078125,2.234375,3456000,2.265625,2.09375,1.6618655920028687
07-12-1995,1.984375,2.09375,2665600,2.09375,1.984375,1.5750519037246704
08-12-1995,1.984375,1.984375,3099200,2.265625,2.203125,1.748679518699646
11-12-1995,2.171875,2.21875,564800,2.234375,2.234375,1.7734837532043457
12-12-1995,2.171875,2.25,2086400,2.359375,2.296875,1.8230916261672974
13-12-1995,2.28125,2.335937976837158,1510400,2.335937976837158,2.3125,1.835494041442871
14-12-1995,2.296875,2.296875,668800,2.328125,2.296875,1.8230916261672974
15-12-1995,2.234375,2.296875,2635200,2.34375,2.234375,1.7734837532043457
18-12-1995,1.96875,2.25,1246400,2.296875,2.015625,1.5998561382293701
19-12-1995,1.910156011581421,1.953125,4568000,2.0625,2.03125,1.612257957458496
20-12-1995,2.0,2.09375,2275200,2.15625,2.125,1.6866695880889893
21-12-1995,2.09375,2.15625,321600,2.171875,2.109375,1.6742674112319946
22-12-1995,2.0625,2.0625,1657600,2.1875,2.125,1.6866695880889893
26-12-1995,2.109375,2.125,2286400,2.28125,2.265625,1.798288106918335
27-12-1995,2.195312976837158,2.28125,2633600,2.359375,2.328125,1.8478957414627075
28-12-1995,2.296875,2.296875,2569600,2.5,2.453125,1.9471118450164795
29-12-1995,2.453125,2.484375,1920000,2.609375,2.507812976837158,1.9905184507369995
02-01-1996,2.375,2.5,1892800,2.5,2.375,1.885101556777954
03-01-1996,2.09375,2.375,3336000,2.40625,2.125,1.6866695880889893
04-01-1996,1.6875,2.140625,6041600,2.140625,1.875,1.488237977027893
05-01-1996,1.8125,1.890625,3273600,2.0625,1.9375,1.5378460884094238
08-01-1996,1.953125,1.96875,166400,2.0,1.953125,1.5502482652664185
09-01-1996,1.65625,2.0,2500800,2.0,1.6875,1.3394140005111694
10-01-1996,1.578125,1.609375,3016000,1.71875,1.625,1.289806604385376
11-01-1996,1.734375,1.765625,3654400,1.890625,1.796875,1.4262281656265259
12-01-1996,1.6875,1.875,793600,1.875,1.75,1.3890223503112793
15-01-1996,1.640625,1.75,668800,1.765625,1.703125,1.3518162965774536
16-01-1996,1.421875,1.671875,3932800,1.6875,1.6875,1.3394140005111694
17-01-1996,1.578125,1.59375,1545600,1.6875,1.671875,1.3270119428634644
18-01-1996,1.625,1.625,3180800,1.6875,1.6875,1.3394140005111694
19-01-1996,1.640625,1.6796879768371582,4825600,1.921875,1.8300780057907104,1.4525821208953857
22-01-1996,1.828125,1.875,1913600,1.9375,1.875,1.488237977027893
23-01-1996,1.859375,1.859375,1126400,1.921875,1.8984379768371582,1.5068416595458984
24-01-1996,1.890625,1.90625,1267200,2.0625,2.0,1.587453842163086
25-01-1996,2.0,2.046875,2702400,2.171875,2.109375,1.6742674112319946
26-01-1996,2.0625,2.09375,982400,2.1875,2.148437976837158,1.7052736282348633
29-01-1996,2.109375,2.140625,936000,2.1875,2.125,1.6866695880889893
30-01-1996,1.875,2.078125,3513600,2.125,2.0,1.587453842163086
31-01-1996,1.921875,1.96875,1129600,2.078125,1.921875,1.5254441499710083
01-02-1996,1.921875,1.953125,857600,2.03125,1.96875,1.5626499652862549
02-02-1996,1.921875,2.03125,1857600,2.03125,1.9453129768371582,1.5440477132797241
05-02-1996,1.921875,1.9375,964800,2.015625,2.015625,1.5998561382293701
06-02-1996,1.984375,2.015625,2483200,2.203125,2.078125,1.6494637727737427
07-02-1996,2.046875,2.125,3126400,2.1875,2.125,1.6866695880889893
08-02-1996,2.15625,2.203125,2886400,2.328125,2.265625,1.798288106918335
09-02-1996,2.234375,2.265625,1934400,2.390625,2.234375,1.7734837532043457
12-02-1996,2.0625,2.257812976837158,2108800,2.257812976837158,2.203125,1.748679518699646
13-02-1996,2.09375,2.140625,2425600,2.359375,2.25,1.7858855724334717
14-02-1996,2.25,2.28125,2414400,2.375,2.367187976837158,1.878900408744812
15-02-1996,2.328125,2.367187976837158,4148800,2.515625,2.421875,1.9223076105117798
16-02-1996,2.203125,2.53125,4108800,2.578125,2.234375,1.7734837532043457
20-02-1996,2.171875,2.21875,1452800,2.273437976837158,2.171875,1.7238761186599731
21-02-1996,2.171875,2.1875,1270400,2.25,2.25,1.7858855724334717
22-02-1996,2.234375,2.25,2659200,2.359375,2.34375,1.860297679901123
23-02-1996,2.15625,2.3125,2572800,2.359375,2.21875,1.7610814571380615
26-02-1996,2.09375,2.15625,3064000,2.15625,2.125,1.6866695880889893
27-02-1996,2.046875,2.148437976837158,2192000,2.148437976837158,2.078125,1.6494637727737427
28-02-1996,2.0625,2.0625,763200,2.125,2.078125,1.6494637727737427
29-02-1996,1.90625,2.078125,2452800,2.132812976837158,1.984375,1.5750519037246704
01-03-1996,1.921875,2.015625,456000,2.015625,1.9375,1.5378460884094238
04-03-1996,1.921875,1.984375,278400,1.984375,1.984375,1.5750519037246704
05-03-1996,1.9375,1.984375,670400,2.0,1.9375,1.5378460884094238
06-03-1996,1.9375,1.9375,166400,2.03125,1.96875,1.5626499652862549
07-03-1996,1.96875,1.96875,398400,2.03125,1.984375,1.5750519037246704
08-03-1996,1.953125,1.984375,246400,2.046875,1.953125,1.5502482652664185
11-03-1996,1.953125,1.953125,163200,2.015625,2.015625,1.5998561382293701
12-03-1996,1.9375,1.953125,187200,2.015625,1.9375,1.5378460884094238
13-03-1996,1.9375,2.0,137600,2.0,1.9375,1.5378460884094238
14-03-1996,1.9375,2.0,499200,2.0,1.953125,1.5502482652664185
15-03-1996,1.953125,1.953125,3489600,2.015625,2.015625,1.5998561382293701
18-03-1996,1.953125,1.953125,1588800,2.015625,1.953125,1.5502482652664185
19-03-1996,1.953125,2.015625,144000,2.015625,1.96875,1.5626499652862549
20-03-1996,1.921875,1.96875,534400,2.0,1.921875,1.5254441499710083
21-03-1996,1.921875,1.921875,563200,1.984375,1.921875,1.5254441499710083
22-03-1996,1.875,1.984375,1032000,1.984375,1.921875,1.5254441499710083
25-03-1996,1.921875,1.984375,340800,2.015625,2.015625,1.5998561382293701
26-03-1996,1.921875,1.953125,475200,2.015625,1.921875,1.5254441499710083
27-03-1996,1.921875,1.984375,339200,1.984375,1.984375,1.5750519037246704
28-03-1996,1.921875,1.984375,163200,1.984375,1.921875,1.5254441499710083
29-03-1996,1.921875,1.984375,796800,1.984375,1.984375,1.5750519037246704
01-04-1996,1.796875,1.984375,1193600,1.984375,1.859375,1.4758362770080566
02-04-1996,1.796875,1.859375,729600,1.859375,1.796875,1.4262281656265259
03-04-1996,1.796875,1.796875,48000,1.859375,1.796875,1.4262281656265259
04-04-1996,1.6875,1.859375,1596800,1.859375,1.71875,1.3642185926437378
08-04-1996,1.6875,1.71875,491200,1.75,1.6875,1.3394140005111694
09-04-1996,1.6875,1.6875,500800,1.75,1.6953129768371582,1.3456157445907593
10-04-1996,1.6875,1.6875,1577600,1.75,1.6875,1.3394140005111694
11-04-1996,1.6875,1.75,809600,1.75,1.703125,1.3518162965774536
12-04-1996,1.625,1.75,6328000,1.75,1.6875,1.3394140005111694
15-04-1996,1.6875,1.75,809600,1.75,1.6875,1.3394140005111694
16-04-1996,1.6875,1.75,606400,1.75,1.6875,1.3394140005111694
17-04-1996,1.6875,1.6875,128000,1.75,1.6875,1.3394140005111694
18-04-1996,1.691406011581421,1.75,96000,1.75,1.75,1.3890223503112793
19-04-1996,1.6875,1.6875,1664000,1.78125,1.7578129768371582,1.3952234983444214
22-04-1996,1.71875,1.78125,500800,1.78125,1.765625,1.4014241695404053
23-04-1996,1.734375,1.734375,822400,1.8125,1.8125,1.438630223274231
24-04-1996,1.75,1.8125,1388800,1.875,1.8671879768371582,1.4820373058319092
25-04-1996,1.8125,1.8515629768371582,1884800,2.046875,1.984375,1.5750519037246704
26-04-1996,2.0,2.046875,1382400,2.1875,2.140625,1.699072003364563
29-04-1996,2.109375,2.1875,483200,2.1875,2.109375,1.6742674112319946
30-04-1996,2.0,2.15625,766400,2.15625,2.0,1.587453842163086
01-05-1996,1.96875,2.0625,243200,2.0625,1.96875,1.5626499652862549
02-05-1996,1.96875,2.03125,206400,2.03125,1.96875,1.5626499652862549
03-05-1996,1.9375,2.0,392000,2.03125,2.0,1.587453842163086
06-05-1996,1.9375,1.953125,1449600,2.0,2.0,1.587453842163086
07-05-1996,2.0,2.0625,331200,2.0625,2.0625,1.637061595916748
08-05-1996,2.0,2.0,2251200,2.0625,2.0625,1.637061595916748
09-05-1996,2.015625,2.015625,2867200,2.25,2.25,1.7858855724334717
10-05-1996,2.1875,2.21875,3934400,2.320312976837158,2.320312976837158,1.841695785522461
13-05-1996,2.28125,2.34375,3163200,2.453125,2.40625,1.909904956817627
14-05-1996,2.359375,2.40625,2824000,2.46875,2.359375,1.8726999759674072
15-05-1996,2.359375,2.359375,2094400,2.421875,2.421875,1.9223076105117798
16-05-1996,2.125,2.25,5265600,2.28125,2.28125,1.810689926147461
17-05-1996,2.21875,2.28125,4318400,2.28125,2.21875,1.7610814571380615
20-05-1996,2.171875,2.21875,6369600,2.28125,2.171875,1.7238761186599731
21-05-1996,2.171875,2.171875,1406400,2.234375,2.171875,1.7238761186599731
22-05-1996,2.171875,2.171875,878400,2.234375,2.171875,1.7238761186599731
23-05-1996,2.171875,2.234375,1516800,2.234375,2.171875,1.7238761186599731
24-05-1996,2.140625,2.234375,233600,2.234375,2.140625,1.699072003364563
28-05-1996,2.046875,2.109375,416000,2.171875,2.109375,1.6742674112319946
29-05-1996,2.046875,2.046875,1569600,2.109375,2.078125,1.6494637727737427
30-05-1996,2.078125,2.078125,62400,2.078125,2.078125,1.6494637727737427
31-05-1996,2.078125,2.140625,4156800,2.140625,2.140625,1.699072003364563
