Date,Low,Open,Volume,High,Close,Adjusted Close
10-11-1999,64.5,65.0,80793700,70.3125,68.25,38.52439880371094
11-11-1999,68.75,68.75,28309000,76.9375,75.0,42.33450698852539
12-11-1999,69.25,76.0,14768100,76.625,70.5,39.79445266723633
15-11-1999,67.3125,70.5,8675100,70.875,69.0,38.94776153564453
16-11-1999,65.0,67.875,6978600,68.0,66.0,37.25438690185547
17-11-1999,65.125,65.5625,5806900,68.1875,67.6875,38.206905364990234
18-11-1999,66.125,67.9375,4718700,68.9375,66.3125,37.430782318115234
19-11-1999,64.25,66.3125,5091100,66.3125,65.0,36.68992614746094
22-11-1999,61.0,64.0625,4785400,64.25,63.125,35.63155746459961
23-11-1999,63.25,63.375,2832200,67.0,66.1875,37.360225677490234
24-11-1999,65.9375,66.0,2179400,68.1875,67.6875,38.38087463378906
26-11-1999,68.1875,68.4375,1322500,69.4375,69.125,39.19598388671875
29-11-1999,67.0,70.0,1987000,70.25,68.125,38.628944396972656
30-11-1999,66.0625,67.375,1686100,67.625,66.0625,37.459449768066406
01-12-1999,65.625,66.25,1405700,67.375,65.875,37.35313415527344
02-12-1999,65.875,66.0,1391000,67.0625,67.0625,38.02648162841797
03-12-1999,66.3125,67.4375,1753500,67.6875,66.4375,37.67207717895508
06-12-1999,65.375,66.5,1398900,66.5,66.25,37.565765380859375
07-12-1999,65.875,65.9375,1793100,68.0,68.0,38.55807113647461
08-12-1999,66.75,68.0,1774000,68.375,68.375,38.77070236206055
09-12-1999,66.625,68.375,1713600,68.75,67.5,38.27454376220703
10-12-1999,65.375,66.375,1248600,67.0,66.125,37.4948844909668
13-12-1999,64.875,66.375,1417800,66.9375,66.0,37.42400360107422
14-12-1999,64.75,66.0,1886600,66.0,65.0,36.85697937011719
15-12-1999,63.6875,65.0,1602800,65.0625,63.75,36.14817428588867
16-12-1999,63.25,63.75,1364600,64.0625,64.0,36.28993606567383
17-12-1999,64.6875,64.75,1980800,67.625,66.625,37.77840042114258
20-12-1999,66.9375,67.6875,1501300,68.5,68.5,38.841575622558594
21-12-1999,67.5,68.25,1265200,69.0,69.0,39.12508010864258
22-12-1999,66.0625,68.9375,1264700,68.9375,67.0,37.991050720214844
23-12-1999,65.625,66.5,1180600,67.875,67.75,38.41630554199219
27-12-1999,67.5,68.5,1478800,69.6875,69.6875,39.51492691040039
28-12-1999,68.0625,69.5,1051400,69.6875,69.0,39.12508010864258
29-12-1999,67.5625,69.0,904700,69.375,68.0,38.55807113647461
30-12-1999,68.0,69.25,926700,69.5,68.0,38.55807113647461
31-12-1999,68.375,68.875,649300,69.5,69.0,39.12508010864258
03-01-2000,67.0,69.6875,1273200,69.75,67.0625,38.02648162841797
04-01-2000,64.625,67.0,1385800,67.0,64.9375,36.82154846191406
05-01-2000,64.75,64.875,1401700,68.0,68.0,38.55807113647461
06-01-2000,65.0,65.875,1959100,68.125,68.0,38.55807113647461
07-01-2000,65.75,67.625,996000,67.625,66.375,37.63664245605469
10-01-2000,66.4375,66.875,1191700,67.4375,67.0625,38.02648162841797
11-01-2000,65.25,67.125,1020000,67.4375,65.25,36.99873352050781
12-01-2000,65.4375,66.125,1097700,67.5,67.375,38.20366668701172
13-01-2000,67.375,67.625,1071200,68.5,68.3125,38.73526382446289
14-01-2000,68.3125,68.875,1160000,69.25,69.0625,39.16053771972656
18-01-2000,67.375,69.0,980500,69.0,68.6875,38.947906494140625
19-01-2000,67.4375,68.5,1087300,68.5625,68.25,38.699825286865234
20-01-2000,68.125,68.125,1972000,69.125,68.875,39.054237365722656
21-01-2000,66.6875,68.875,1270100,68.875,67.25,38.1328010559082
24-01-2000,66.0,67.875,831400,68.25,66.0,37.42400360107422
25-01-2000,64.75,65.625,1263000,66.625,65.875,37.35313415527344
26-01-2000,64.5,65.25,933400,65.625,65.125,36.9278450012207
27-01-2000,64.0,65.3125,1128400,65.375,65.125,36.9278450012207
28-01-2000,64.0,65.125,1324700,65.875,64.9375,36.82154846191406
31-01-2000,59.0,63.0,5745800,64.0,60.0,34.021827697753906
01-02-2000,58.3125,59.6875,4761000,61.5,61.375,34.8015022277832
02-02-2000,57.1875,59.75,4740600,59.9375,58.25,33.02952194213867
03-02-2000,57.375,59.25,1951900,59.5,57.625,32.675132751464844
04-02-2000,56.0625,58.1875,1745200,58.1875,56.375,31.966331481933594
07-02-2000,55.5,56.625,1480200,56.8125,55.75,31.611957550048828
08-02-2000,55.75,56.25,2055100,59.375,59.375,33.66743850708008
09-02-2000,58.0,59.5,1209400,59.625,58.0,32.887779235839844
10-02-2000,56.5,58.0625,995700,58.5,57.0625,32.356178283691406
11-02-2000,55.125,56.8125,1013900,57.0,55.125,31.257553100585938
14-02-2000,54.125,55.3125,2052800,55.5,54.375,30.832292556762695
15-02-2000,53.5625,54.4375,1182900,55.0,54.9375,31.151233673095703
16-02-2000,54.5,55.1875,1530000,56.4375,56.0,31.753692626953125
17-02-2000,56.125,56.5,1036000,58.25,58.0,32.887779235839844
18-02-2000,55.25,58.0,1529200,59.4375,56.9375,32.28529739379883
22-02-2000,54.5625,56.9375,1226000,56.9375,55.0,31.18666648864746
23-02-2000,54.0625,55.0625,855700,56.25,54.9375,31.151233673095703
24-02-2000,53.8125,55.0,1049300,55.0,54.0625,30.750244140625
25-02-2000,54.0625,54.9375,961700,55.75,55.5,31.5678653717041
28-02-2000,54.5,55.5625,565600,55.625,55.0,31.28347396850586
29-02-2000,54.5,55.0,750900,55.3125,54.625,31.07018280029297
01-03-2000,51.875,54.625,1471000,54.6875,52.5,29.86149787902832
02-03-2000,52.0625,52.125,1136600,53.625,53.3125,30.323633193969727
03-03-2000,52.5625,53.3125,1030700,53.5,52.6875,29.968154907226562
06-03-2000,52.5,54.375,1431500,54.375,52.75,30.003707885742188
07-03-2000,49.0,52.75,2319100,52.8125,50.625,28.795021057128906
08-03-2000,51.3125,52.75,2275300,54.5,54.3125,30.892433166503906
09-03-2000,52.4375,54.5,1199700,54.5,53.0,30.145889282226562
10-03-2000,53.0625,53.75,776700,54.375,53.4375,30.39473533630371
13-03-2000,52.125,52.25,671700,54.1875,52.75,30.003707885742188
14-03-2000,52.3125,52.5,1072500,53.5,52.5625,29.89703941345215
15-03-2000,51.625,52.9375,2274800,55.375,54.9375,31.247926712036133
16-03-2000,55.0625,55.875,1635300,57.625,56.25,31.994461059570312
17-03-2000,55.5,57.0625,622400,57.0625,55.5,31.5678653717041
20-03-2000,55.25,56.5,843400,56.875,56.5625,32.17221450805664
21-03-2000,55.25,56.3125,889000,58.375,58.1875,33.09650802612305
22-03-2000,56.8125,58.1875,763100,59.0625,56.875,32.3499755859375
23-03-2000,56.0,56.8125,1472900,59.9375,59.625,33.91413879394531
