Date,Low,Open,Volume,High,Close,Adjusted Close
22-06-1988,4.625,0.0,18200,4.75,4.625,2.70890474319458
23-06-1988,4.25,0.0,51100,4.5,4.25,2.4892637729644775
24-06-1988,4.375,0.0,11800,4.375,4.375,2.56247615814209
27-06-1988,4.25,0.0,13200,4.375,4.25,2.4892637729644775
28-06-1988,4.0,0.0,16200,4.25,4.0,2.3428359031677246
29-06-1988,4.125,0.0,8900,4.25,4.125,2.4160494804382324
30-06-1988,4.375,0.0,47300,4.5,4.375,2.56247615814209
01-07-1988,4.75,0.0,29100,4.875,4.75,2.782118082046509
05-07-1988,4.625,0.0,14000,4.875,4.625,2.70890474319458
06-07-1988,4.5,0.0,20000,4.625,4.5,2.635690450668335
07-07-1988,4.5,0.0,6900,4.625,4.5,2.635690450668335
08-07-1988,4.375,0.0,9300,4.5,4.375,2.56247615814209
11-07-1988,4.375,0.0,31400,4.5,4.375,2.56247615814209
12-07-1988,4.375,0.0,3600,4.625,4.375,2.56247615814209
13-07-1988,4.5,0.0,2800,4.625,4.5,2.635690450668335
14-07-1988,4.375,0.0,26400,4.625,4.375,2.56247615814209
15-07-1988,4.375,0.0,13000,4.625,4.375,2.56247615814209
18-07-1988,4.25,0.0,10500,4.5,4.25,2.4892637729644775
19-07-1988,4.125,0.0,7500,4.375,4.125,2.4160494804382324
20-07-1988,3.875,0.0,31400,4.125,3.875,2.269622325897217
21-07-1988,4.0,0.0,13200,4.125,4.0,2.3428359031677246
22-07-1988,3.875,0.0,21100,4.125,3.875,2.269622325897217
25-07-1988,3.875,0.0,2000,4.125,3.875,2.269622325897217
26-07-1988,3.875,0.0,26900,4.0,3.875,2.269622325897217
27-07-1988,3.875,0.0,1900,4.0,3.875,2.269622325897217
28-07-1988,3.875,0.0,10300,4.0,3.875,2.269622325897217
29-07-1988,3.875,0.0,14200,4.0,3.875,2.269622325897217
01-08-1988,4.0,0.0,19700,4.125,4.0,2.3428359031677246
02-08-1988,3.875,0.0,17500,4.125,3.875,2.269622325897217
03-08-1988,3.75,0.0,33600,4.0,3.75,2.1964080333709717
04-08-1988,3.625,0.0,1300,3.875,3.625,2.123194932937622
05-08-1988,3.75,0.0,2900,3.875,3.75,2.1964080333709717
08-08-1988,3.75,0.0,9400,3.875,3.75,2.1964080333709717
09-08-1988,3.5,0.0,26000,3.625,3.5,2.0499815940856934
10-08-1988,3.25,0.0,41100,3.375,3.25,1.9035539627075195
11-08-1988,3.375,0.0,8900,3.5,3.375,1.9767674207687378
12-08-1988,3.375,0.0,2000,3.5,3.375,1.9767674207687378
15-08-1988,3.25,0.0,12500,3.375,3.25,1.9035539627075195
16-08-1988,3.125,0.0,13700,3.375,3.125,1.8303407430648804
17-08-1988,2.75,0.0,43200,2.875,2.75,1.610700011253357
18-08-1988,2.75,0.0,15500,2.875,2.75,1.610700011253357
19-08-1988,2.75,0.0,13400,2.875,2.75,1.610700011253357
22-08-1988,2.625,0.0,12400,2.75,2.625,1.53748619556427
23-08-1988,2.75,0.0,21500,2.875,2.75,1.610700011253357
24-08-1988,2.625,0.0,5500,2.75,2.625,1.53748619556427
25-08-1988,2.625,0.0,800,2.75,2.625,1.53748619556427
26-08-1988,2.875,0.0,14500,2.875,2.875,1.6839131116867065
29-08-1988,2.75,0.0,3900,2.875,2.75,1.610700011253357
30-08-1988,2.75,0.0,1000,2.875,2.75,1.610700011253357
31-08-1988,2.75,0.0,6200,2.875,2.75,1.610700011253357
01-09-1988,2.75,2.75,0,2.75,2.75,1.610700011253357
02-09-1988,2.75,0.0,400,2.875,2.75,1.610700011253357
06-09-1988,2.75,0.0,7300,2.875,2.75,1.610700011253357
07-09-1988,2.375,0.0,16400,2.5,2.375,1.3910590410232544
08-09-1988,2.875,0.0,102000,3.0,2.875,1.6839131116867065
09-09-1988,3.25,0.0,143900,3.25,3.25,1.9035539627075195
12-09-1988,3.125,0.0,10300,3.25,3.125,1.8303407430648804
13-09-1988,2.875,0.0,15500,3.0,2.875,1.6839131116867065
14-09-1988,3.0,0.0,18700,3.125,3.0,1.757126808166504
15-09-1988,3.0,0.0,11100,3.0,3.0,1.757126808166504
16-09-1988,3.125,0.0,11500,3.125,3.125,1.8303407430648804
19-09-1988,3.0,0.0,13100,3.125,3.0,1.757126808166504
20-09-1988,3.0,0.0,7000,3.125,3.0,1.757126808166504
21-09-1988,3.0,0.0,6700,3.125,3.0,1.757126808166504
22-09-1988,2.875,0.0,9900,3.0,2.875,1.6839131116867065
23-09-1988,2.875,0.0,5900,3.0,2.875,1.6839131116867065
26-09-1988,2.875,0.0,2300,3.0,2.875,1.6839131116867065
27-09-1988,2.75,0.0,12400,3.0,2.75,1.610700011253357
28-09-1988,2.75,0.0,2500,3.0,2.75,1.610700011253357
